id_phen,index_rel_phytomer,dTT_em_phytomer,dTT_col_phytomer,dTT_sen_phytomer,dTT_del_phytomer
110,0.0,-132.155596018,-132.155596018,-59.6882993219,-59.6882993219
110,0.1,0.0,0.0,0.0,0.0
110,0.2,132.155596018,132.155596018,59.6882993219,59.6882993219
110,0.3,264.311192037,264.311192037,119.376598644,119.376598644
110,0.4,396.466788055,396.466788055,238.531503406,1934.43504328
110,0.5,528.622384074,528.622384074,472.411840633,1934.43504328
110,0.6,660.777980092,660.777980092,706.29217786,1934.43504328
110,0.7,792.933576111,792.933576111,936.86772831,1934.43504328
110,0.8,925.089172129,925.089172129,1148.92174372,1934.43504328
110,0.9,1057.24476815,1057.24476815,1334.44623106,1934.43504328
110,1.0,1189.40036417,1189.40036417,1494.83041326,1934.43504328
111,0.0,-120.141450926,-120.141450926,-54.2620902926,-54.2620902926
111,0.0909090909091,0.0,0.0,0.0,0.0
111,0.181818181818,120.141450926,120.141450926,54.2620902926,54.2620902926
111,0.272727272727,240.282901852,240.282901852,108.524180585,108.524180585
111,0.363636363636,360.424352778,360.424352778,162.786270878,162.786270878
111,0.454545454545,480.565803703,480.565803703,371.528805468,1975.90368759
111,0.545454545455,600.707254629,600.707254629,584.147293856,1975.90368759
111,0.636363636364,720.848705555,720.848705555,796.640249548,1975.90368759
111,0.727272727273,840.990156481,840.990156481,1002.54115444,1975.90368759
111,0.818181818182,961.131607407,961.131607407,1190.09370439,1975.90368759
111,0.909090909091,1081.27305833,1081.27305833,1355.43286169,1975.90368759
111,1.0,1201.41450926,1201.41450926,1500.25662229,1975.90368759
112,0.0,-110.129663349,-110.129663349,-49.7402494349,-49.7402494349
112,0.0833333333333,0.0,0.0,0.0,0.0
112,0.166666666667,110.129663349,110.129663349,49.7402494349,49.7402494349
112,0.25,220.259326697,220.259326697,99.4804988698,99.4804988698
112,0.333333333333,330.388990046,330.388990046,149.220748305,149.220748305
112,0.416666666667,440.518653395,440.518653395,287.459609497,287.459609497
112,0.5,550.648316744,550.648316744,482.35989052,2010.46089118
112,0.583333333333,660.777980092,660.777980092,677.260171543,2010.46089118
112,0.666666666667,770.907643441,770.907643441,871.229638271,2010.46089118
112,0.75,881.03730679,881.03730679,1055.9635694,2010.46089118
